"custom_product_code","artwork_numeric_id","source_file","source_line","image_type","image_column","image_reference","resolved_image_filename","resolved_image_path","exists","used_fallback","reason"
"SAF2026-92","92","cafe24-products-63-109.csv","31","tiny","이미지등록(작은목록)","","92.jpg","public/images/artworks/92.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-92","92","cafe24-products-63-109.csv","31","small","이미지등록(축소)","","92.jpg","public/images/artworks/92.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-93","93","cafe24-products-63-109.csv","32","detail","이미지등록(상세)","","93.jpg","public/images/artworks/93.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-93","93","cafe24-products-63-109.csv","32","list","이미지등록(목록)","","93.jpg","public/images/artworks/93.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-93","93","cafe24-products-63-109.csv","32","tiny","이미지등록(작은목록)","","93.jpg","public/images/artworks/93.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-93","93","cafe24-products-63-109.csv","32","small","이미지등록(축소)","","93.jpg","public/images/artworks/93.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-94","94","cafe24-products-63-109.csv","33","detail","이미지등록(상세)","","94.jpg","public/images/artworks/94.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-94","94","cafe24-products-63-109.csv","33","list","이미지등록(목록)","","94.jpg","public/images/artworks/94.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-94","94","cafe24-products-63-109.csv","33","tiny","이미지등록(작은목록)","","94.jpg","public/images/artworks/94.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-94","94","cafe24-products-63-109.csv","33","small","이미지등록(축소)","","94.jpg","public/images/artworks/94.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-95","95","cafe24-products-63-109.csv","34","detail","이미지등록(상세)","","95.jpg","public/images/artworks/95.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-95","95","cafe24-products-63-109.csv","34","list","이미지등록(목록)","","95.jpg","public/images/artworks/95.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-95","95","cafe24-products-63-109.csv","34","tiny","이미지등록(작은목록)","","95.jpg","public/images/artworks/95.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-95","95","cafe24-products-63-109.csv","34","small","이미지등록(축소)","","95.jpg","public/images/artworks/95.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-96","96","cafe24-products-63-109.csv","35","detail","이미지등록(상세)","","96.jpg","public/images/artworks/96.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-96","96","cafe24-products-63-109.csv","35","list","이미지등록(목록)","","96.jpg","public/images/artworks/96.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-96","96","cafe24-products-63-109.csv","35","tiny","이미지등록(작은목록)","","96.jpg","public/images/artworks/96.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-96","96","cafe24-products-63-109.csv","35","small","이미지등록(축소)","","96.jpg","public/images/artworks/96.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-97","97","cafe24-products-63-109.csv","36","detail","이미지등록(상세)","","97.jpg","public/images/artworks/97.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-97","97","cafe24-products-63-109.csv","36","list","이미지등록(목록)","","97.jpg","public/images/artworks/97.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-97","97","cafe24-products-63-109.csv","36","tiny","이미지등록(작은목록)","","97.jpg","public/images/artworks/97.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-97","97","cafe24-products-63-109.csv","36","small","이미지등록(축소)","","97.jpg","public/images/artworks/97.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-98","98","cafe24-products-63-109.csv","37","detail","이미지등록(상세)","","98.jpg","public/images/artworks/98.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-98","98","cafe24-products-63-109.csv","37","list","이미지등록(목록)","","98.jpg","public/images/artworks/98.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-98","98","cafe24-products-63-109.csv","37","tiny","이미지등록(작은목록)","","98.jpg","public/images/artworks/98.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-98","98","cafe24-products-63-109.csv","37","small","이미지등록(축소)","","98.jpg","public/images/artworks/98.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-99","99","cafe24-products-63-109.csv","38","detail","이미지등록(상세)","","99.jpg","public/images/artworks/99.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-99","99","cafe24-products-63-109.csv","38","list","이미지등록(목록)","","99.jpg","public/images/artworks/99.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-99","99","cafe24-products-63-109.csv","38","tiny","이미지등록(작은목록)","","99.jpg","public/images/artworks/99.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-99","99","cafe24-products-63-109.csv","38","small","이미지등록(축소)","","99.jpg","public/images/artworks/99.jpg","Y","Y","empty_reference_stem_fallback"
"SAF2026-100","100","cafe24-products-63-109.csv","39","detail","이미지등록(상세)","","100.jpg","public/images/artworks/100.jpg","Y","Y","empty_reference_stem_fallback"
